Id,Team,Match,Time,RecordType,Mode,Leave,AcqLoc,AcqCenter,AcqDis,AcqDrp,DelOrig,DelDest,DelMiss,DriveSta,RobotSta,HPAmp,StageStat,StageAtt,StageLoc,Harmony,Spotlit,ClimbT,OZTime,NZTime,AZTime,Defense,Avoidance,Strategy,Mics,ScouterName,ScouterError,match_event,teammat,TimeCenter
720,frc3316,4,2024-02-27 20:22:56.893,EndMatch,Showtime,0,OppWing,0,0,0,-,-,0,blue0,Amp,N,Park,0,A,9,9,0.0,26.8821625,17.0206095,95.0064835,0,1,Hybrid,9,Jialing,0,-,3316.04,0
721,frc2230,4,2024-02-27 20:22:56.910,EndMatch,Showtime,1,AllyWing,0,0,0,-,-,0,blue1,Podm,N,Else,0,A,9,9,0.0,16.5162331,12.7960309,107.9777563,0,1,Shooter,9,Eric,100000,-,2230.04,0
722,frc2630,4,2024-02-27 20:22:56.923,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue2,SubW,Y,Else,0,A,9,9,0.0,1.9605994,59.414018899999995,76.4223368,0,0,,0,Milo,0,-,2630.04,0
774,frc2679,5,2024-02-27 20:30:21.040,EndMatch,Showtime,0,OppWing,0,0,0,-,-,0,red0,Amp,N,Park,0,A,9,9,0.0,16.796002599999998,22.2472189,96.7174507,0,0,Shooter,9,Nicky,100000,-,2679.05,0
775,frc3339,5,2024-02-27 20:30:21.053,EndMatch,Showtime,1,-,0,0,0,-,-,0,red1,Podm,N,Park,-1,A,9,9,8.107964299999999,16.8698811,44.357625299999995,67.946646,0,3,Shooter,9,Savannah,30300000,-,3339.05,0
776,frc7067,5,2024-02-27 20:30:21.060,EndMatch,Showtime,1,OppWing,0,0,0,-,-,0,red2,OppS,Y,Park,-1,A,9,9,0.0,4.4309128,11.700939,81.5079083,0,0,Shooter,0,Gabriel,0,-,7067.05,0
777,frc3083,5,2024-02-27 20:30:21.077,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue0,OppS,N,On,1,C,0,0,3.6755131999999997,0.0,8.0084154,120.8115169,0,0,,9,Jialing,0,-,3083.05,0
778,frc5654,5,2024-02-27 20:30:21.077,EndMatch,Showtime,0,-,0,0,0,-,-,0,blue1,Podm,Y,On,1,L,0,0,17.2596466,47.8584125,24.7073871,36.4946225,0,0,Hybrid,0,Eric,0,-,5654.05,0
779,frc5951,5,2024-02-27 20:30:21.090,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue2,SubW,N,Park,-1,A,9,9,13.033499299999999,30.8841859,30.2105031,62.1279076,2,0,Shooter,9,Milo,10000000,-,5951.05,0
818,frc5715,6,2024-02-27 20:36:41.867,EndMatch,Showtime,0,AllyWing,0,0,0,-,-,0,red0,OppS,N,On,1,L,0,0,6.2141791,18.679292999999998,3.6276401999999996,110.47405099999999,0,0,Shooter,9,Nicky,0,-,5715.06,0
819,frc4338,6,2024-02-27 20:36:41.890,EndMatch,Showtime,0,-,0,0,0,-,-,0,red1,Podm,N,Else,0,A,9,9,0.0,0.0,0.0,137.0295434,0,0,,9,Savannah,0,-,4338.06,0
820,frc7177,6,2024-02-27 20:36:41.900,EndMatch,Showtime,1,Neutral,0,0,0,-,-,0,red2,SubW,Y,Else,0,A,9,9,0.0,126.5061508,7.9276686,5.296997999999999,0,0,,1,Gabriel,10000000,-,7177.06,0
822,frc5990,6,2024-02-27 20:36:41.910,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue1,Amp,N,On,1,L,0,1,9.997043099999999,21.264374999999998,39.328090599999996,65.0664079,0,1,Shooter,9,Eric,10000000,-,5990.06,0
821,frc6230,6,2024-02-27 20:36:41.910,EndMatch,Showtime,0,AllyWing,0,0,0,-,-,0,blue0,SubW,N,Else,0,A,9,9,0.0,0.0,83.34994259999999,53.8479003,0,0,,9,Jialing,0,-,6230.06,0
823,frc5135,6,2024-02-27 20:36:41.927,EndMatch,Showtime,0,-,0,0,0,-,-,0,blue2,Podm,Y,Park,0,A,9,9,0.0,8.6313941,53.295750899999994,76.847618,2,0,Defense,1,Milo,0,-,5135.06,0
876,frc8175,7,2024-02-27 20:42:24.097,EndMatch,Showtime,1,-,0,0,0,-,-,0,red0,SubW,Y,Park,0,A,9,9,0.0,11.307279,9.842315,120.2510521,0,0,Shooter,0,Nicky,0,-,8175.07,0
877,frc4319,7,2024-02-27 20:42:24.110,EndMatch,Showtime,1,OppWing,0,0,0,-,-,0,red1,Amp,N,Else,0,A,9,9,0.0,15.7633426,0.0,0.0,0,0,Shooter,9,Savannah,0,-,4319.07,0
878,frc1942,7,2024-02-27 20:42:24.127,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue0,Amp,N,Park,-1,A,9,9,0.5718352,25.1899046,24.1133313,91.7731081,0,0,Hybrid,9,Jialing,10000000,-,1942.07,0
879,frc9740,7,2024-02-27 20:42:24.127,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue1,SubW,N,Park,-1,A,9,9,12.157853999999999,12.6043202,21.069418799999998,94.5337071,0,1,Hybrid,9,Eric,0,-,9740.07,0
880,frc3083,7,2024-02-27 20:42:24.143,EndMatch,Showtime,1,AllyWing,0,0,0,-,-,0,blue2,OppS,Y,Park,0,A,9,9,0.0,23.3101886,18.7321186,87.1071614,0,0,Hybrid,0,Milo,10000000,-,3083.07,0
928,frc2630,8,2024-02-27 20:46:59.413,EndMatch,Showtime,0,AllyWing,0,0,0,-,-,0,red0,SubW,Y,Park,0,A,9,9,0.0,0.0,4.8586537,130.8947526,2,0,Shooter,0,Nicky,20300000,-,2630.08,0
929,frc7067,8,2024-02-27 20:46:59.437,EndMatch,Showtime,0,AllyWing,0,0,0,-,-,0,red1,OppS,N,On,1,L,0,0,8.7601192,0.0,13.5407929,98.795875,0,0,Celebrity,9,Savannah,10000000,-,7067.08,0
930,frc1576,8,2024-02-27 20:46:59.450,EndMatch,Showtime,0,-,0,0,0,-,-,0,red2,Podm,N,Park,0,A,9,9,0.0,0.0,20.7439572,119.3048359,0,0,Shooter,9,Gabriel,20100000,-,1576.08,0
931,frc4320,8,2024-02-27 20:46:59.463,EndMatch,Showtime,1,AllyWing,0,0,0,-,-,0,blue0,SubW,N,Else,0,A,9,9,0.0,0.0,3.0669633999999997,132.7325064,0,0,Hybrid,9,Jialing,0,-,4320.08,0
933,frc2679,8,2024-02-27 20:46:59.473,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue2,Amp,Y,Park,0,A,9,9,0.0,21.281069799999997,51.7338994,62.900830299999996,2,0,Defense,0,Milo,0,-,2679.08,0
932,frc3065,8,2024-02-27 20:46:59.473,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue1,Podm,N,Park,0,A,9,9,0.0,53.7798812,44.3449216,35.5786182,3,0,Defense,9,Eric,0,-,3065.08,0
988,frc3211,10,2024-02-27 20:53:43.083,EndMatch,Showtime,1,AllyWing,0,0,0,-,-,0,red0,Podm,N,Park,0,A,9,9,0.0,0.0,127.8073615,9.9047279,0,0,Mover,9,Nicky,0,-,3211.1,0
