End_Date,Event_Code,Event_Type,Event_Type_String,Event_Key,Event_Name,Short_Name,Start_Date,Week,Year
2024-03-23,orwil,1,District,2024orwil,PNW District Wilsonville Event,Wilsonville,2024-03-21,3,2024
2024-03-24,paben,1,District,2024paben,FMA District Bensalem Event,Bensalem,2024-03-22,3,2024
2024-03-02,paca,0,Regional,2024paca,Greater Pittsburgh Regional,Greater Pittsburgh,2024-02-28,0,2024
2024-03-03,pahat,1,District,2024pahat,FMA District Hatboro-Horsham Event,Hatboro-Horsham,2024-03-01,0,2024
2024-03-17,paphi,1,District,2024paphi,FMA District Springside Chestnut Hill Event,Springside Chestnut Hill,2024-03-15,2,2024
2024-04-06,pncmp,2,District Championship,2024pncmp,Pacific Northwest FIRST District Championship,Pacific Northwest,2024-04-03,5,2024
2024-03-03,qcmo,0,Regional,2024qcmo,Festival de Robotique Regional,Festival de Robotique,2024-03-01,0,2024
2024-03-16,rikin,1,District,2024rikin,NE District URI Event,URI,2024-03-14,2,2024
2024-03-09,scand,1,District,2024scand,PCH District Anderson Event presented by MAGNA,Anderson,2024-03-07,1,2024
2024-03-23,sccha,1,District,2024sccha,PCH District Charleston Event presented by South Carolina Department of Education,Charleston,2024-03-21,3,2024
2024-03-06,tnkn,0,Regional,2024tnkn,Smoky Mountains Regional,Smoky Mountains,2024-03-03,0,2024
2024-03-21,tuhc,0,Regional,2024tuhc,Haliç Regional,Haliç,2024-03-19,3,2024
2024-03-07,tuis,0,Regional,2024tuis,İstanbul Regional,İstanbul,2024-03-05,1,2024
2024-03-10,tuis2,0,Regional,2024tuis2,Bosphorus Regional,Bosphorus,2024-03-08,1,2024
2024-03-24,tuis3,0,Regional,2024tuis3,Marmara Regional,Marmara,2024-03-22,3,2024
2024-03-30,txama,1,District,2024txama,FIT District Amarillo Event,Amarillo,2024-03-28,4,2024
2024-03-09,txbel,1,District,2024txbel,FIT District Belton Event,Belton,2024-03-07,1,2024
2024-03-30,txcle,1,District,2024txcle,FIT District Space City @ Friendswood Event,Space City @ Friendswood,2024-03-28,4,2024
2024-04-06,txcmp,2,District Championship,2024txcmp,FIRST In Texas District Championship,Texas,2024-04-03,5,2024
2024-03-23,txdal,1,District,2024txdal,FIT District Dallas Event,Dallas,2024-03-21,3,2024
2024-03-16,txfor,1,District,2024txfor,FIT District Fort Worth Event,Fort Worth,2024-03-14,2,2024
