Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,MelodyRP,EnsembleRP,OppFoulPts,Aamp,Aspkr,ANotePts,AutoPts,Tamp,Tspkra,Tspkrna,TspkraPts,TspkrnaPts,Tspkr,TspkrPts,TNotePts,TrapPts,Trap,TotNotes,NotePts,StagePts
2024isde1,qm,2024isde1_qm30,30,B,Blue3S,S,frc9740,True,53,0,0,5,0,2,10,16,2,0,8,0,16,8,16,18,10,2,12,28,15
2024isde1,qm,2024isde1_qm31,31,B,Blue1A,A,frc2630,False,35,0,0,0,0,4,20,22,0,0,6,0,12,6,12,12,0,0,10,32,1
2024isde1,qm,2024isde1_qm31,31,B,Blue2C,C,frc2679,False,35,0,0,0,0,4,20,22,0,0,6,0,12,6,12,12,0,0,10,32,1
2024isde1,qm,2024isde1_qm31,31,B,Blue3S,S,frc8175,False,35,0,0,0,0,4,20,22,0,0,6,0,12,6,12,12,0,0,10,32,1
2024isde1,qm,2024isde1_qm32,32,B,Blue1A,A,frc5654,True,77,1,1,2,0,5,25,31,3,1,10,5,20,11,25,28,5,1,19,53,13
2024isde1,qm,2024isde1_qm32,32,B,Blue2C,C,frc3316,True,77,1,1,2,0,5,25,31,3,1,10,5,20,11,25,28,5,1,19,53,13
2024isde1,qm,2024isde1_qm32,32,B,Blue3S,S,frc1577,True,77,1,1,2,0,5,25,31,3,1,10,5,20,11,25,28,5,1,19,53,13
2024isde1,qm,2024isde1_qm33,33,B,Blue1A,A,frc1574,False,44,0,0,2,0,2,10,12,2,1,12,5,24,13,29,31,0,0,17,41,1
2024isde1,qm,2024isde1_qm33,33,B,Blue2C,C,frc1576,False,44,0,0,2,0,2,10,12,2,1,12,5,24,13,29,31,0,0,17,41,1
2024isde1,qm,2024isde1_qm33,33,B,Blue3S,S,frc3065,False,44,0,0,2,0,2,10,12,2,1,12,5,24,13,29,31,0,0,17,41,1
2024isde1,qm,2024isde1_qm34,34,B,Blue1A,A,frc9740,False,22,0,0,5,0,1,5,7,3,0,6,0,12,6,12,15,0,0,10,20,0
2024isde1,qm,2024isde1_qm34,34,B,Blue2C,C,frc9738,False,22,0,0,5,0,1,5,7,3,0,6,0,12,6,12,15,0,0,10,20,0
