Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,OppFoulPts,Aamp,Aspkr,Atrap,AutoPts,Tamp,Tspkr,Tspkrpts,Ttrap,TotNotes,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,NotePts,StagePts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,MelodyRP,EnsembleRP,OppFoulPts,Aamp,Aspkr,ANotePts,AutoPts,Tamp,Tspkra,Tspkrna,TspkraPts,TspkrnaPts,Tspkr,TspkrPts,TNotePts,TrapPts,Trap,TotNotes,NotePts,StagePts,,
2024isde1,qm,2024isde1_qm47,47,R,Red3A,A,frc5654,False,60,1,0,0,0,4,20,22,4,2,9,10,18,11,28,32,0,0,19,52,1,,
2024isde1,qm,2024isde1_qm48,48,R,Red1S,S,frc4338,False,49,0,0,5,0,3,15,17,0,0,12,0,24,12,24,24,0,0,15,39,3,,
2024isde1,qm,2024isde1_qm48,48,R,Red2C,C,frc8175,False,49,0,0,5,0,3,15,17,0,0,12,0,24,12,24,24,0,0,15,39,3,,
2024isde1,qm,2024isde1_qm48,48,R,Red3A,A,frc3339,False,49,0,0,5,0,3,15,17,0,0,12,0,24,12,24,24,0,0,15,39,3,,
2024isde1,qm,2024isde1_qm49,49,R,Red1S,S,frc4319,True,50,0,0,5,0,5,25,31,2,0,7,0,14,7,14,16,0,0,14,41,3,,
2024isde1,qm,2024isde1_qm49,49,R,Red2C,C,frc2630,True,50,0,0,5,0,5,25,31,2,0,7,0,14,7,14,16,0,0,14,41,3,,
2024isde1,qm,2024isde1_qm49,49,R,Red3A,A,frc3211,True,50,0,0,5,0,5,25,31,2,0,7,0,14,7,14,16,0,0,14,41,3,,
2024isde1,qm,2024isde1_qm5,5,R,Red1S,S,frc2679,True,40,1,0,5,0,0,0,4,4,0,12,0,24,12,24,28,0,0,16,28,3,,
2024isde1,qm,2024isde1_qm5,5,R,Red2C,C,frc3339,True,40,1,0,5,0,0,0,4,4,0,12,0,24,12,24,28,0,0,16,28,3,,
2024isde1,qm,2024isde1_qm5,5,R,Red3A,A,frc7067,True,40,1,0,5,0,0,0,4,4,0,12,0,24,12,24,28,0,0,16,28,3,,
2024isde1,qm,2024isde1_qm50,50,R,Red1S,S,frc1574,True,91,1,1,0,0,3,15,17,6,2,10,10,20,12,30,36,0,0,21,51,3,,
2024isde1,qm,2024isde1_qm50,50,R,Red2C,C,frc3316,True,91,1,1,0,0,3,15,17,6,2,10,10,20,12,30,36,0,0,21,51,3,,
2024isde1,qm,2024isde1_qm50,50,R,Red3A,A,frc6740,True,91,1,1,0,0,3,15,17,6,2,10,10,20,12,30,36,0,0,21,51,3,,
2024isde1,qm,2024isde1_qm51,51,R,Red1S,S,frc1580,True,11,0,0,0,0,0,0,2,1,0,2,0,4,2,4,5,0,0,3,5,2,,
2024isde1,qm,2024isde1_qm51,51,R,Red2C,C,frc2679,True,11,0,0,0,0,0,0,2,1,0,2,0,4,2,4,5,0,0,3,5,2,,
2024isde1,qm,2024isde1_qm51,51,R,Red3A,A,frc1576,True,11,0,0,0,0,0,0,2,1,0,2,0,4,2,4,5,0,0,3,5,2,,
2024isde1,qm,2024isde1_qm52,52,R,Red1S,S,frc5951,True,61,1,0,0,0,4,20,22,7,1,3,5,6,4,11,18,0,0,15,38,1,,
2024isde1,qm,2024isde1_qm52,52,R,Red2C,C,frc6230,True,61,1,0,0,0,4,20,22,7,1,3,5,6,4,11,18,0,0,15,38,1,,
2024isde1,qm,2024isde1_qm52,52,R,Red3A,A,frc4338,True,61,1,0,0,0,4,20,22,7,1,3,5,6,4,11,18,0,0,15,38,1,,
2024isde1,qm,2024isde1_qm53,53,R,Red1S,S,frc3065,True,59,1,0,5,0,2,10,16,6,3,10,15,20,13,35,41,0,0,21,51,2,,
2024isde1,qm,2024isde1_qm53,53,R,Red2C,C,frc5990,True,59,1,0,5,0,2,10,16,6,3,10,15,20,13,35,41,0,0,21,51,2,,
2024isde1,qm,2024isde1_qm53,53,R,Red3A,A,frc3211,True,59,1,0,5,0,2,10,16,6,3,10,15,20,13,35,41,0,0,21,51,2,,
2024isde1,qm,2024isde1_qm54,54,R,Red1S,S,frc7067,False,37,0,0,5,0,1,5,9,2,1,4,5,8,5,13,15,5,1,8,20,8,,
2024isde1,qm,2024isde1_qm54,54,R,Red2C,C,frc3316,False,37,0,0,5,0,1,5,9,2,1,4,5,8,5,13,15,5,1,8,20,8,,
2024isde1,qm,2024isde1_qm54,54,R,Red3A,A,frc8175,False,37,0,0,5,0,1,5,9,2,1,4,5,8,5,13,15,5,1,8,20,8,,
2024isde1,qm,2024isde1_qm55,55,R,Red1S,S,frc1942,False,98,1,1,5,0,5,25,29,6,7,7,35,14,14,49,55,5,1,25,80,12,,
2024isde1,qm,2024isde1_qm55,55,R,Red2C,C,frc1574,False,98,1,1,5,0,5,25,29,6,7,7,35,14,14,49,55,5,1,25,80,12,,
2024isde1,qm,2024isde1_qm55,55,R,Red3A,A,frc1690,False,98,1,1,5,0,5,25,29,6,7,7,35,14,14,49,55,5,1,25,80,12,,
